2026-02-26 15:02:04.9365 | Ciribob.DCS.SimpleRadio.Standalone.Client.Singletons.AudioInputSingleton | Audio Input -   {3.0.1.00000002}.{A3ED9185-1E02-411C-B11B-05D92F25CEF4} CHN:2 Rate:44100 
2026-02-26 15:02:04.9365 | Ciribob.DCS.SimpleRadio.Standalone.Client.Singletons.AudioOutputSingleton | Building Normal Audio Outputs 
2026-02-26 15:02:04.9365 | Ciribob.DCS.SimpleRadio.Standalone.Client.Singletons.AudioOutputSingleton | Audio Output - Saved ID {0.0.0.00000000}.{cf9f09e7-9162-4306-8a2f-a788f1e096ae} 
2026-02-26 15:02:04.9365 | Ciribob.DCS.SimpleRadio.Standalone.Client.Singletons.AudioOutputSingleton | Audio Output -   {3.0.0.00000002}.{6C26BA7D-F0B2-4225-B422-8168C5261E45} CHN:2 Rate:44100 
2026-02-26 15:02:04.9430 | Ciribob.DCS.SimpleRadio.Standalone.Client.Singletons.AudioOutputSingleton | Building Microphone Audio Outputs 
2026-02-26 15:02:04.9430 | Ciribob.DCS.SimpleRadio.Standalone.Client.Singletons.AudioOutputSingleton | Mic Audio Output - Saved ID  
2026-02-26 15:02:04.9430 | Ciribob.DCS.SimpleRadio.Standalone.Client.Singletons.AudioOutputSingleton | Audio Output -   {3.0.0.00000002}.{6C26BA7D-F0B2-4225-B422-8168C5261E45} CHN:2 Rate:44100 
2026-02-26 15:02:04.9430 | Ciribob.DCS.SimpleRadio.Standalone.Client.Settings.Favourites.CsvFavouriteServerStore | Failed to parse address from csv, text:  System.ArgumentOutOfRangeException: address must be at least 3 segments (Parameter 'line')
   at Ciribob.DCS.SimpleRadio.Standalone.Client.Settings.Favourites.CsvFavouriteServerStore.Parse(String line)
   at Ciribob.DCS.SimpleRadio.Standalone.Client.Settings.Favourites.CsvFavouriteServerStore.ReadFile()
2026-02-26 15:02:04.9430 | Ciribob.DCS.SimpleRadio.Standalone.Client.Settings.Favourites.CsvFavouriteServerStore | Failed to parse address from csv, text:  System.ArgumentOutOfRangeException: address must be at least 3 segments (Parameter 'line')
   at Ciribob.DCS.SimpleRadio.Standalone.Client.Settings.Favourites.CsvFavouriteServerStore.Parse(String line)
   at Ciribob.DCS.SimpleRadio.Standalone.Client.Settings.Favourites.CsvFavouriteServerStore.ReadFile()
2026-02-26 15:02:04.9640 | Ciribob.DCS.SimpleRadio.Standalone.Client.UI.ClientWindow.MainWindow | Checking window visibility for main client window {X=272,Y=50} 
2026-02-26 15:02:04.9640 | Ciribob.DCS.SimpleRadio.Standalone.Client.UI.ClientWindow.MainWindow | Checking window visibility for radio overlay {X=300,Y=300} 
2026-02-26 15:02:04.9640 | Ciribob.DCS.SimpleRadio.Standalone.Client.UI.ClientWindow.MainWindow | Checking window visibility for AWACS overlay {X=300,Y=300} 
2026-02-26 15:02:04.9640 | Ciribob.DCS.SimpleRadio.Standalone.Client.UI.ClientWindow.MainWindow | Checking primary screen \\.\DISPLAY97 with bounds {X=0,Y=0,Width=1440,Height=900} for window visibility 
2026-02-26 15:02:04.9640 | Ciribob.DCS.SimpleRadio.Standalone.Client.UI.ClientWindow.MainWindow | Main client window {X=272,Y=50} is visible on primary screen \\.\DISPLAY97 with bounds {X=0,Y=0,Width=1440,Height=900} 
2026-02-26 15:02:04.9640 | Ciribob.DCS.SimpleRadio.Standalone.Client.UI.ClientWindow.MainWindow | Radio overlay {X=300,Y=300} is visible on primary screen \\.\DISPLAY97 with bounds {X=0,Y=0,Width=1440,Height=900} 
2026-02-26 15:02:04.9640 | Ciribob.DCS.SimpleRadio.Standalone.Client.UI.ClientWindow.MainWindow | AWACS overlay {X=300,Y=300} is visible on primary screen \\.\DISPLAY97 with bounds {X=0,Y=0,Width=1440,Height=900} 
2026-02-26 15:02:06.8503 | Ciribob.DCS.SimpleRadio.Standalone.Common.Helpers.UpdaterChecker | Running latest stable version: 2.3.6.0 
2026-02-26 15:03:51.2444 | Ciribob.DCS.SimpleRadio.Standalone.Common.Network.Client.TCPClientHandler | TryConnect @ 192.168.0.20:5002 
2026-02-26 15:03:51.4572 | Ciribob.DCS.SimpleRadio.Standalone.Common.Network.Client.UDPVoiceHandler | Pinging Server - Starting 
2026-02-26 15:03:51.4591 | Ciribob.DCS.SimpleRadio.Standalone.Common.Network.Client.UDPVoiceHandler | Received initial Ping Back from Server 
2026-02-26 15:03:51.4790 | Ciribob.DCS.SimpleRadio.Standalone.Client.Singletons.InputDeviceManager | Attempt to Load Whitelist from C:\Users\Albert\AppData\Local\DCS-SimpleRadio-Standalone\Client\whitelist.txt 
2026-02-26 15:03:51.4790 | Ciribob.DCS.SimpleRadio.Standalone.Client.Singletons.InputDeviceManager | File doesnt exist: C:\Users\Albert\AppData\Local\DCS-SimpleRadio-Standalone\Client\whitelist.txt 
2026-02-26 15:03:51.4790 | Ciribob.DCS.SimpleRadio.Standalone.Client.Singletons.InputDeviceManager | Attempt to Load Blacklist from C:\Users\Albert\AppData\Local\DCS-SimpleRadio-Standalone\Client\blacklist.txt 
2026-02-26 15:03:51.4790 | Ciribob.DCS.SimpleRadio.Standalone.Client.Singletons.InputDeviceManager | File doesnt exist: C:\Users\Albert\AppData\Local\DCS-SimpleRadio-Standalone\Client\blacklist.txt 
2026-02-26 15:03:51.4790 | Ciribob.DCS.SimpleRadio.Standalone.Client.Singletons.InputDeviceManager | Starting Device Search. Expand Search: False. Use XInput (for Xbox controllers): False 
